,School
2024-09-30,2325.814128106816
2024-10-01,3671.4631588975517
2024-10-02,3404.034919713509
2024-10-03,2060.857502163528
2024-10-04,741.2816350082207
2024-10-05,279.38629320164546
2024-10-06,773.7639540912794
