,Local Route
2024-09-30,10800.020879089276
2024-10-01,16160.296359527329
2024-10-02,13410.685181344172
2024-10-03,6153.916879017788
2024-10-04,450.15661291035394
2024-10-05,22.757383494134046
2024-10-06,4097.69268450283
