,Light Rail
2024-09-30,6987.136794847909
2024-10-01,10097.10474107075
2024-10-02,8412.443284463181
2024-10-03,4088.4320629560607
2024-10-04,680.6289944419686
2024-10-05,378.62442102565
2024-10-06,2758.092930247182
