,Rapid Route
2024-09-30,12809.810783380468
2024-10-01,18868.66765473148
2024-10-02,15050.825047596642
2024-10-03,5767.835215623229
2024-10-04,-1425.739980561062
2024-10-05,-1757.2033918619518
2024-10-06,3836.401170039774
