,Peak Service
2024-09-30,211.3025692557368
2024-10-01,335.3186929508919
2024-10-02,299.9066932624338
2024-10-03,158.99222726874072
2024-10-04,31.548198542344707
2024-10-05,5.490494676266735
2024-10-06,80.96462952582917
