,Other
2024-09-30,-966.3647151467395
2024-10-01,-1336.26337394265
2024-10-02,-1010.8406250526741
2024-10-03,-355.2513834286243
2024-10-04,138.97984316271118
2024-10-05,194.84884902464216
2024-10-06,-123.1663317716064
