,Other
2024-09-30,45.393557228366085
2024-10-01,55.17547995051467
2024-10-02,57.23479696424321
2024-10-03,57.7049199838532
2024-10-04,57.784048699109796
2024-10-05,57.817403839131146
2024-10-06,57.812152099731804
